qseqid	gene	protein_name	uniprot_acc	organism	Function
g32466	rimP	Ribosome maturation factor RimP	B0SQH2	Leptospira biflexa serovar Patoc (strain Patoc 1 / ATCC 23582 / Paris)	Required for maturation of 30S ribosomal subunits. {ECO:0000255|HAMAP-Rule:MF_01077}.
g32467	FLN2	Fructokinase-like 2, chloroplastic	F4I0K2	Arabidopsis thaliana	Required for proper chloroplast development, most likely through regulating plastid-encoded polymerase (PEP) dependent chloroplast transcription. Acts as a component of the transcriptionally active plastid chromosome that is required for plastid gene expression. {ECO:0000269|PubMed:16326926, ECO:0000269|PubMed:20511297, ECO:0000269|PubMed:22770232, ECO:0000269|PubMed:24019900}.
g32488	NA	HMG-Y-related protein A	Q00423	Glycine max	NA
g32489	HMGA	HMG-Y-related protein A	Q43386	Arabidopsis thaliana	Binds A/T-rich DNA with a highly dynamic distribution into the nucleus. {ECO:0000269|PubMed:17114349}.
g32490	NA	Kirola	P85524	Actinidia deliciosa	NA
g32493	MPK15	Mitogen-activated protein kinase 15	Q9C9U4	Arabidopsis thaliana	NA
g32494	SCPL50	Serine carboxypeptidase-like 50	Q9M9Q6	Arabidopsis thaliana	Probable carboxypeptidase. {ECO:0000250}.
g32495	RECG1	ATP-dependent DNA helicase homolog RECG1, chloroplastic/mitochondrial	F4INA9	Arabidopsis thaliana	Plays a critical role in recombination and DNA repair. Helps process Holliday junction (HJ) intermediates to mature products by catalyzing branch migration. Has replication fork regression activity, unwinds stalled or blocked replication forks to make a HJ that can be resolved. Has a DNA unwinding activity characteristic of a DNA helicase with 3'-5' polarity (By similarity). {ECO:0000250|UniProtKB:P24230}.; FUNCTION: Plays a role in recombination surveillance and repair of double-stranded (ds)DNA breaks in the mitochondrion (PubMed:26462909). May be able to dissociate D- and R-loops (Probable) (PubMed:26462909). Able to complement UV sensitivity of a recG deletion in E.coli (PubMed:26462909). {ECO:0000250|UniProtKB:P24230, ECO:0000269|PubMed:26462909}.
g32496	ttc27	Tetratricopeptide repeat protein 27 homolog	Q54BW6	Dictyostelium discoideum	NA
g32500	PIN4	Auxin efflux carrier component 4	Q8RWZ6	Arabidopsis thaliana	Acts as a component of the auxin efflux carrier. Plays a role in generating a sink for auxin into columella cells (PubMed:20439545). Maintains the endogenous auxin gradient, which is essential for correct root patterning (PubMed:20439545). Involved in EXO70A3-regulated gravitropic responses in columella cells and in root system architecture (RSA) (PubMed:31299202). Together with PIN3 and PIN7, involved in the connective auxin transport (CAT) that ensures communication across the shoot system, and modulates strigolactone-mediated shoot branching control (PubMed:30865619). The abcb19 pin3 pin4 pin7 quadruple mutant exhibits an additive phenotype on strigolactone-mediated bud outgrowth responses and shoot branching control (PubMed:30865619). {ECO:0000269|PubMed:20439545, ECO:0000269|PubMed:30865619, ECO:0000269|PubMed:31299202}.
g33447	CYP83B1	Cytochrome P450 83B1	O65782	Arabidopsis thaliana	Involved in the metabolism of aromatic oximes. Catalyzes the oxime metabolizing step in indole glucosinolate biosynthesis by converting indole-3-acetaldoxime into indole-3-S-alkyl-thiohydroximate. Probably required for glucosinolate activation in response to pathogens. Functions in auxin homeostasis because indole-3-acetaldoxime also serves as a precursor for auxin biosynthesis. Specifically metabolizes (E)-p-hydroxyphenylacetaldoxime into an S-alkyl-thiohydroximate (PubMed:26361733). {ECO:0000269|PubMed:11114200, ECO:0000269|PubMed:11158532, ECO:0000269|PubMed:11333274, ECO:0000269|PubMed:11553739, ECO:0000269|PubMed:11805067, ECO:0000269|PubMed:12970475, ECO:0000269|PubMed:26361733}.
g35511	NCED6	9-cis-epoxycarotenoid dioxygenase NCED6, chloroplastic	Q9LRM7	Arabidopsis thaliana	Has a 11,12(11',12') 9-cis epoxycarotenoid cleavage activity. Catalyzes the first step of abscisic-acid biosynthesis from carotenoids. Contributes probably to abscisic acid synthesis for the induction of seed dormancy. {ECO:0000269|PubMed:11532178, ECO:0000269|PubMed:16412079}.
g416	STP13	Sugar transport protein 13	Q94AZ2	Arabidopsis thaliana	Mediates an active uptake of hexoses, probably by sugar/hydrogen symport. {ECO:0000250}.
g448	KdelR	ER lumen protein-retaining receptor	O76767	Drosophila melanogaster	Required for the retention of luminal endoplasmic reticulum proteins. Determines the specificity of the luminal ER protein retention system. Also required for normal vesicular traffic through the Golgi (By similarity). {ECO:0000250}.
g5054	CET2	CEN-like protein 2	Q9XH43	Nicotiana tabacum	May form complexes with phosphorylated ligands by interfering with kinases and their effectors. {ECO:0000250}.
g5351	RPN7	26S proteasome non-ATPase regulatory subunit 6 homolog	Q93Y35	Arabidopsis thaliana	Acts as a regulatory subunit of the 26S proteasome which is involved in the ATP-dependent degradation of ubiquitinated proteins. {ECO:0000250}.
g5352	EVI5L	EVI5-like protein	Q96CN4	Homo sapiens	Functions as a GTPase-activating protein (GAP) with a broad specificity. {ECO:0000269|PubMed:16923123}.
g6035	DPEP	4-alpha-glucanotransferase, chloroplastic/amyloplastic	Q06801	Solanum tuberosum	May act during starch breakdown to convert small oligosaccharides into larger molecules upon which starch phosphorylase can act, or may change the structure of starch molecules and grain architecture by modifying chain length, or may generate from starch and glucose oligosaccharides which can serve either as primers for new starch phosphoenzyme.
g663	PXMP2	Peroxisomal membrane protein 2	Q2KIY1	Bos taurus	Seems to be involved in pore-forming activity and may contribute to the unspecific permeability of the peroxisomal membrane. {ECO:0000250}.
g7549	RUN1	Disease resistance protein RUN1	V9M398	Vitis rotundifolia	Disease resistance (R) protein that confers resistance to multiple powdery and downy mildew by promoting cell death (PubMed:24033846, PubMed:31439792). Acts as a NAD(+) hydrolase (NADase): in response to activation, catalyzes cleavage of NAD(+) into ADP-D-ribose (ADPR) and nicotinamide; NAD(+) cleavage triggering a defense system that promotes cell death (PubMed:31439792). Also able to hydrolyze NADP(+), but not other NAD(+)-related molecules (PubMed:31439792). {ECO:0000269|PubMed:24033846, ECO:0000269|PubMed:31439792}.
g7550	BRIP1	Fanconi anemia group J protein homolog	Q3YK19	Gallus gallus	DNA-dependent helicase and 5' to 3' DNA helicase required for the maintenance of chromosomal stability (PubMed:16116421). Involved in the repair of DNA double-strand breaks by homologous recombination (By similarity). Involved in the repair of abasic sites at replication forks by promoting the degradation of DNA-protein cross-links: acts by catalyzing unfolding of HMCES DNA-protein cross-link via its helicase activity, exposing the underlying DNA and enabling cleavage of the DNA-protein adduct by the SPRTN metalloprotease (By similarity). {ECO:0000250|UniProtKB:A0A8J1M587, ECO:0000250|UniProtKB:Q9BX63, ECO:0000269|PubMed:16116421}.
g7558	MLO-H1	MLO protein homolog 1	O49873	Hordeum vulgare	May be involved in modulation of pathogen defense and leaf cell death. Activity seems to be regulated by Ca(2+)-dependent calmodulin binding and seems not to require heterotrimeric G proteins (By similarity). {ECO:0000250}.
g7559	PAT21	Protein S-acyltransferase 21	Q6DR03	Arabidopsis thaliana	S-acyltransferase involved in protein lipid modification. {ECO:0000269|PubMed:22968831, ECO:0000269|Ref.6}.
g7560	MLO5	MLO-like protein 5	O22815	Arabidopsis thaliana	May be involved in modulation of pathogen defense and leaf cell death. Activity seems to be regulated by Ca(2+)-dependent calmodulin binding and seems not to require heterotrimeric G proteins (By similarity). {ECO:0000250}.
g7561	FKBP18	Peptidyl-prolyl cis-trans isomerase FKBP18, chloroplastic	Q9LM71	Arabidopsis thaliana	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity). {ECO:0000250}.
g7562	OEP21B	Outer envelope pore protein 21B, chloroplastic	Q9FPG2	Arabidopsis thaliana	Voltage-dependent rectifying anion channel that facilitates the translocation between chloroplast and cytoplasm of phosphorylated carbohydrates such as triosephosphate, 3-phosphoglycerate and inorganic phosphate (Pi) depending of ATP to triosephosphate ratio in the plastidial intermembrane space; in high triosephosphate/ATP conditions (e.g. photosynthesis), export of triosphosphate from chloroplast (outward rectifying channels), but in high ATP/triosephosphate conditions (e.g. dark phase), import of phosphosolutes (inward rectifying channels) (By similarity). {ECO:0000250}.
g7564	MCD1	Protein MULTIPLE CHLOROPLAST DIVISION SITE 1	Q8GWA7	Arabidopsis thaliana	Required for chloroplast division (PubMed:23936263, PubMed:29967285). Together with MIND1 and ARC3, regulates FtsZ ring positioning in chloroplasts in an ARC6-dependent manner (PubMed:29967285). Determines the site of chloroplast division in concert with MIND1 (PubMed:29967285). Not directly involved in ring formation, but required for MIND1 and MINE1 localization to regulate FtsZ ring formation during plastidial constriction (PubMed:29967285). {ECO:0000269|PubMed:23936263, ECO:0000269|PubMed:29967285}.
g7567	ATXR2	Histone-lysine N-methyltransferase ATXR2	Q5PP37	Arabidopsis thaliana	Histone methyltransferase that methylates 'Lys-36' (H3K36me) of histone H3 to produce H3K36me3 (PubMed:29184030). Promotes early stages of cellular dedifferentiation through H3K36me3-dependent, and to a lesser degree H3K4me3-dependent, activation of Lateral organ Boundaries-Domain (LBD) (e.g. LBD16 and LBD29) genes (PubMed:29184030). Positive regulator of root organogenesis including lateral root formation as well as adventitious root formation from wounded leaf tissues (PubMed:29517958). Recruited by JMJ30/ARF (e.g. ARF7 and ARF19) complexes to promote the deposition of H3K36me3 and, to a lower extent, H3K4me3 at LBD genes promoters, thus ensuring their stable activation during callus formation on callus-inducing medium (CIM) (PubMed:29184030, PubMed:29923261). {ECO:0000269|PubMed:29184030, ECO:0000269|PubMed:29517958, ECO:0000269|PubMed:29923261}.
g7568	XCP1	Cysteine protease XCP1	O65493	Arabidopsis thaliana	Cysteine protease involved in xylem tracheary element (TE) autolysis during xylogenesis in roots. Participates in micro autolysis within the intact central vacuole before mega autolysis is initiated by tonoplast implosion. {ECO:0000269|PubMed:18573193}.
g7571	LHCB7	Chlorophyll a-b binding protein 7, chloroplastic	Q9C9K1	Arabidopsis thaliana	The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated (Probable). Probably functions in non-photochemical quenching (NPQ) to dissipate energy under conditions where the absorbed light exceeds the electron transfer capacities of the thylakoid complexes contributing to primary photochemistry (PubMed:24119415). {ECO:0000269|PubMed:24119415, ECO:0000305}.
g7572	VLG	Protein VACUOLELESS GAMETOPHYTES	Q6NQN8	Arabidopsis thaliana	Essential for development of both female (megagametogenesis) and male (microgametogenesis) gametophytes by promoting the formation of large vacuoles early in development, maybe via the regulation of vesicular fusion. {ECO:0000269|PubMed:28107777}.
g7576	phoD	Alkaline phosphatase D	P42251	Bacillus subtilis (strain 168)	NA
