Orthogroup	Boltonia_decurrens_hap1_1.0_CDS	Arabidopsis_thaliana_GCF_000001735.4_CDS
OG0000546	g6687.t1	lcl|NC_003071.7_cds_NP_001324209.1_17330, lcl|NC_003071.7_cds_NP_001324214.1_17331, lcl|NC_003071.7_cds_NP_001324208.1_17332, lcl|NC_003071.7_cds_NP_001324211.1_17334, lcl|NC_003071.7_cds_NP_001324212.1_17335, lcl|NC_003071.7_cds_NP_001324213.1_17336, lcl|NC_003071.7_cds_NP_180882.2_17333, lcl|NC_003071.7_cds_NP_001324210.1_17329
OG0000561	g12362.t1, g30811.t1	lcl|NC_003076.8_cds_NP_568121.1_37613, lcl|NC_003076.8_cds_NP_001332165.1_37612, lcl|NC_003074.8_cds_NP_001326432.1_21982, lcl|NC_003074.8_cds_NP_001326433.1_21983, lcl|NC_003074.8_cds_NP_001189851.1_21981, lcl|NC_003074.8_cds_NP_001189850.1_21980, lcl|NC_003074.8_cds_NP_187602.1_21979
OG0000565	g10124.t1, g18054.t1	lcl|NC_003074.8_cds_NP_001326520.1_24314, lcl|NC_003074.8_cds_NP_188802.1_24315, lcl|NC_003075.7_cds_NP_001328412.1_32232, lcl|NC_003075.7_cds_NP_849390.1_32231, lcl|NC_003075.7_cds_NP_001319949.1_32228, lcl|NC_003075.7_cds_NP_567464.1_32230, lcl|NC_003075.7_cds_NP_001319948.1_32229
OG0000582	g13547.t1, g31400.t1	lcl|NC_003076.8_cds_NP_199521.1_44233, lcl|NC_003076.8_cds_NP_001330804.1_44234, lcl|NC_003075.7_cds_NP_567533.1_32732, lcl|NC_003075.7_cds_NP_001329535.1_32730, lcl|NC_003075.7_cds_NP_001329533.1_32729, lcl|NC_003075.7_cds_NP_001329534.1_32731, lcl|NC_003075.7_cds_NP_974566.1_32733
OG0000591	g30569.t1	lcl|NC_003076.8_cds_NP_195942.1_37551, lcl|NC_003076.8_cds_NP_001190215.1_37608, lcl|NC_003076.8_cds_NP_195970.2_37607, lcl|NC_003076.8_cds_NP_001330959.1_37605, lcl|NC_003076.8_cds_NP_001078525.1_37606, lcl|NC_003076.8_cds_NP_001330957.1_37603, lcl|NC_003076.8_cds_NP_001330956.1_37604, lcl|NC_003076.8_cds_NP_001330958.1_37602
OG0000594	g33082.t1	lcl|NC_003076.8_cds_NP_974978.1_47006, lcl|NC_003076.8_cds_NP_974979.1_47003, lcl|NC_003076.8_cds_NP_200997.2_47005, lcl|NC_003076.8_cds_NP_001190590.1_47000, lcl|NC_003076.8_cds_NP_568944.1_47001, lcl|NC_003076.8_cds_NP_974977.1_47002, lcl|NC_003076.8_cds_NP_568180.1_38332, lcl|NC_003076.8_cds_NP_001330552.1_47004
OG0000595	g14129.t1	lcl|NC_003076.8_cds_NP_001190283.1_38944, lcl|NC_003076.8_cds_NP_001318531.1_38945, lcl|NC_003076.8_cds_NP_196627.1_38946, lcl|NC_003076.8_cds_NP_197870.1_41432
OG0000595	g31702.t1	lcl|NC_003076.8_cds_NP_196629.1_38948, lcl|NC_003076.8_cds_NP_001318532.1_38947, lcl|NC_003076.8_cds_NP_196633.2_38958
OG0000662	g15868.t1	lcl|NC_003070.9_cds_NP_171973.1_769
OG0000662	g7436.t1, g617.t1, g616.t1, g13033.t1, g15869.t1	lcl|NC_003071.7_cds_NP_180832.1_17235
OG0000666	g26993.t1, g3223.t1, g26992.t1	lcl|NC_003070.9_cds_NP_849600.1_1098, lcl|NC_003070.9_cds_NP_172112.1_1097, lcl|NC_003070.9_cds_NP_001321282.1_1096, lcl|NC_003076.8_cds_NP_001318643.1_41482, lcl|NC_003076.8_cds_NP_197905.1_41483
OG0000667	g8843.t1	lcl|NC_003070.9_cds_NP_563766.3_1129, lcl|NC_003070.9_cds_NP_001321590.1_1127, lcl|NC_003070.9_cds_NP_001321589.1_1128, lcl|NC_003071.7_cds_NP_001323510.1_16877, lcl|NC_003071.7_cds_NP_001323509.1_16876, lcl|NC_003071.7_cds_NP_001323511.1_16878, lcl|NC_003071.7_cds_NP_850156.1_16879
OG0000677	g576.t1	lcl|NC_003070.9_cds_NP_001077529.1_2478, lcl|NC_003070.9_cds_NP_001117276.1_2476, lcl|NC_003070.9_cds_NP_001184977.1_2477, lcl|NC_003070.9_cds_NP_172750.1_2475, lcl|NC_003070.9_cds_NP_001321059.1_2474, lcl|NC_003074.8_cds_NP_566796.2_25211, lcl|NC_003070.9_cds_NP_174996.1_6476
OG0000682	g20265.t1	lcl|NC_003070.9_cds_NP_001077544.1_3042, lcl|NC_003070.9_cds_NP_001322097.1_3047, lcl|NC_003070.9_cds_NP_001322096.1_3046, lcl|NC_003070.9_cds_NP_001322095.1_3045, lcl|NC_003070.9_cds_NP_173047.1_3044, lcl|NC_003070.9_cds_NP_001319013.1_3043, lcl|NC_003070.9_cds_NP_001322098.1_3048
OG0000685	g5587.t1	lcl|NC_003070.9_cds_NP_973865.1_3676, lcl|NC_003070.9_cds_NP_973864.1_3675, lcl|NC_003070.9_cds_NP_564081.1_3674, lcl|NC_003070.9_cds_NP_001077562.1_3673, lcl|NC_003070.9_cds_NP_565099.1_11522, lcl|NC_003070.9_cds_NP_974145.1_11523, lcl|NC_003070.9_cds_NP_973863.1_3672
OG0000692	g11276.t1, g7727.t1, g7721.t1, g1595.t1	lcl|NC_003071.7_cds_NP_566095.1_20056, lcl|NC_003071.7_cds_NP_001189768.1_20057, lcl|NC_003074.8_cds_NP_191784.1_29493, lcl|NC_003070.9_cds_NP_173755.1_4409
OG0000694	g2088.t1	lcl|NC_003070.9_cds_NP_001320718.1_10411, lcl|NC_003070.9_cds_NP_001320717.1_10409, lcl|NC_003070.9_cds_NP_177038.1_10410, lcl|NC_003070.9_cds_NP_001319082.1_4751, lcl|NC_003070.9_cds_NP_001322420.1_4748, lcl|NC_003070.9_cds_NP_001322419.1_4749, lcl|NC_003070.9_cds_NP_001185096.1_4750
OG0000714	g2687.t1	lcl|NC_003074.8_cds_NP_001189932.1_23836, lcl|NC_003074.8_cds_NP_188548.2_23835, lcl|NC_003070.9_cds_NP_001320455.1_7172, lcl|NC_003070.9_cds_NP_001320454.1_7171, lcl|NC_003070.9_cds_NP_175386.2_7168, lcl|NC_003070.9_cds_NP_850962.1_7170, lcl|NC_003070.9_cds_NP_850961.1_7169
OG0000717	g1407.t1	lcl|NC_003070.9_cds_NP_175568.1_7485, lcl|NC_003076.8_cds_NP_196801.1_39313, lcl|NC_003074.8_cds_NP_001327706.1_28661, lcl|NC_003074.8_cds_NP_001327705.1_28660, lcl|NC_003074.8_cds_NP_191347.1_28663
OG0000717	g23412.t1	lcl|NC_003074.8_cds_NP_001327704.1_28662
OG0000722	g20812.t2, g20812.t1	lcl|NC_003070.9_cds_NP_849818.1_8370, lcl|NC_003070.9_cds_NP_001321034.1_8369, lcl|NC_003070.9_cds_NP_001321033.1_8368
OG0000722	g35282.t1	lcl|NC_003074.8_cds_NP_001154611.1_22558, lcl|NC_003074.8_cds_NP_001319534.1_22557
OG0000725	g11964.t1	lcl|NC_003070.9_cds_NP_001323361.1_9517, lcl|NC_003070.9_cds_NP_974084.1_9515, lcl|NC_003070.9_cds_NP_001185304.1_9514, lcl|NC_003070.9_cds_NP_001323360.1_9516, lcl|NC_003070.9_cds_NP_176568.1_9513, lcl|NC_003076.8_cds_NP_198955.2_43157, lcl|NC_003076.8_cds_NP_001119349.1_43158
OG0000731	g7079.t1, g18456.t1	lcl|NC_003070.9_cds_NP_001031306.2_12422, lcl|NC_003070.9_cds_NP_001117623.1_12423, lcl|NC_003070.9_cds_NP_178112.2_12421, lcl|NC_003070.9_cds_NP_001185445.1_12424, lcl|NC_003075.7_cds_NP_001328817.1_33424, lcl|NC_003075.7_cds_NP_567621.1_33423
OG0000737	g2073.t1	lcl|NC_003071.7_cds_NP_178475.2_13177, lcl|NC_003071.7_cds_NP_001324260.1_13174, lcl|NC_003071.7_cds_NP_001318194.1_13173, lcl|NC_003071.7_cds_NP_001118260.1_13176, lcl|NC_003071.7_cds_NP_001324261.1_13175, lcl|NC_003071.7_cds_NP_973412.1_13178, lcl|NC_003071.7_cds_NP_001030966.1_13179
OG0000752	g21376.t1, g30456.t1	lcl|NC_003075.7_cds_NP_194821.1_35350, lcl|NC_003075.7_cds_NP_194820.1_35348, lcl|NC_003075.7_cds_NP_001328632.1_35349, lcl|NC_003071.7_cds_NP_001189587.1_15603, lcl|NC_003071.7_cds_NP_179997.1_15604, lcl|NC_003071.7_cds_NP_001118375.1_15605
OG0000753	g9445.t1	lcl|NC_003071.7_cds_NP_565647.3_16208, lcl|NC_003071.7_cds_NP_001323821.1_16207, lcl|NC_003071.7_cds_NP_973543.1_16205, lcl|NC_003071.7_cds_NP_001077969.1_16204, lcl|NC_003071.7_cds_NP_001031431.1_16206, lcl|NC_003074.8_cds_NP_001030882.1_28703, lcl|NC_003074.8_cds_NP_191372.2_28702
OG0000756	g27119.t1, g27119.t2	lcl|NC_003071.7_cds_NP_001189625.1_16418, lcl|NC_003071.7_cds_NP_001323946.1_16419, lcl|NC_003071.7_cds_NP_565674.1_16417, lcl|NC_003071.7_cds_NP_001323947.1_16420, lcl|NC_003071.7_cds_NP_001323945.1_16422, lcl|NC_003071.7_cds_NP_001318304.1_16421
OG0000770	g4346.t1, g9868.t1	lcl|NC_003074.8_cds_NP_001118846.1_28213, lcl|NC_003074.8_cds_NP_191120.2_28212, lcl|NC_003071.7_cds_NP_001189714.1_18576, lcl|NC_003071.7_cds_NP_973641.1_18577, lcl|NC_003071.7_cds_NP_001189715.1_18574, lcl|NC_003071.7_cds_NP_181510.1_18575
OG0000778	g18753.t1, g18753.t2	lcl|NC_003076.8_cds_NP_196225.1_38078, lcl|NC_003074.8_cds_NP_187021.2_20792, lcl|NC_003071.7_cds_NP_182244.2_20075, lcl|NC_003074.8_cds_NP_186985.5_20742, lcl|NC_003074.8_cds_NP_001189799.2_20741, lcl|NC_003074.8_cds_NP_186983.2_20736
OG0000785	g12491.t1, g4827.t1, g27062.t1, g23309.t1, g28400.t1	lcl|NC_003076.8_cds_NP_195972.1_37610, lcl|NC_003076.8_cds_NP_001031827.1_37611, lcl|NC_003074.8_cds_NP_187601.1_21978
OG0000789	g14020.t1, g31612.t1	lcl|NC_003074.8_cds_NP_001326708.1_23388, lcl|NC_003074.8_cds_NP_001326707.1_23389, lcl|NC_003074.8_cds_NP_001326709.1_23384, lcl|NC_003074.8_cds_NP_188302.2_23385, lcl|NC_003074.8_cds_NP_001326711.1_23386, lcl|NC_003074.8_cds_NP_001326710.1_23387
OG0000795	g1614.t1, g13855.t1, g11800.t1, g31301.t1, g1613.t1	lcl|NC_003075.7_cds_NP_192834.1_31276, lcl|NC_003075.7_cds_NP_194123.1_33962, lcl|NC_003074.8_cds_NP_189494.1_25600
OG0000796	g9512.t1	lcl|NC_003076.8_cds_NP_851225.1_46588, lcl|NC_003076.8_cds_NP_200786.1_46586, lcl|NC_003076.8_cds_NP_851226.1_46587, lcl|NC_003074.8_cds_NP_001190018.1_26492, lcl|NC_003074.8_cds_NP_001030816.1_26493, lcl|NC_003074.8_cds_NP_001078249.1_26491, lcl|NC_003074.8_cds_NP_190199.2_26490
OG0000797	g22349.t1, g23298.t1	lcl|NC_003076.8_cds_NP_001331974.1_46495, lcl|NC_003076.8_cds_NP_001331973.1_46496, lcl|NC_003076.8_cds_NP_001078768.1_46493, lcl|NC_003076.8_cds_NP_200737.1_46494, lcl|NC_003074.8_cds_NP_190228.1_26543, lcl|NC_003074.8_cds_NP_001030820.1_26544
OG0000798	g13284.t1	lcl|NC_003076.8_cds_NP_001119327.1_42575, lcl|NC_003076.8_cds_NP_198620.1_42587, lcl|NC_003076.8_cds_NP_198617.1_42583, lcl|NC_003076.8_cds_NP_198611.1_42574
OG0000798	g33406.t1	lcl|NC_003074.8_cds_NP_190251.1_26600, lcl|NC_003074.8_cds_NP_566885.1_26598
OG0000800	g362.t1	lcl|NC_003074.8_cds_NP_001190041.1_27078, lcl|NC_003074.8_cds_NP_001325877.1_27077, lcl|NC_003074.8_cds_NP_001325876.1_27076, lcl|NC_003074.8_cds_NP_001325875.1_27075, lcl|NC_003074.8_cds_NP_001325874.1_27074, lcl|NC_003074.8_cds_NP_190512.3_27079, lcl|NC_003074.8_cds_NP_001078264.1_27080
OG0000826	g25936.t1	lcl|NC_003075.7_cds_NP_001078517.1_37138, lcl|NC_003075.7_cds_NP_001328124.1_37137, lcl|NC_003075.7_cds_NP_195713.1_37139, lcl|NC_003075.7_cds_NP_001078516.1_37136, lcl|NC_003075.7_cds_NP_849529.1_37141, lcl|NC_003075.7_cds_NP_001031816.1_37142, lcl|NC_003075.7_cds_NP_001329167.1_37140
OG0000838	g12181.t1, g12177.t1, g12178.t1, g12180.t1, g12179.t1	lcl|NC_003076.8_cds_NP_197907.1_41485, lcl|NC_003076.8_cds_NP_197908.1_41486, lcl|NC_003076.8_cds_NP_201292.1_47569
OG0000840	g18747.t1	lcl|NC_003076.8_cds_NP_001119317.1_42353, lcl|NC_003076.8_cds_NP_001119316.1_42350, lcl|NC_003076.8_cds_NP_001119318.1_42369, lcl|NC_003076.8_cds_NP_001190428.1_42370, lcl|NC_003076.8_cds_NP_001190427.1_42352, lcl|NC_003076.8_cds_NP_198485.2_42351, lcl|NC_003076.8_cds_NP_198495.1_42368
OG0000844	g9545.t1	lcl|NC_003076.8_cds_NP_851174.1_45164, lcl|NC_003076.8_cds_NP_200017.2_45163, lcl|NC_003076.8_cds_NP_001154774.1_45166, lcl|NC_003076.8_cds_NP_001330349.1_45167, lcl|NC_003076.8_cds_NP_001154773.1_45165, lcl|NC_003076.8_cds_NP_001330348.1_45168, lcl|NC_003076.8_cds_NP_001330347.1_45169
OG0000846	g19229.t1, g1941.t1, g20030.t1, g34479.t1, g17459.t1, g33739.t1, g1942.t1	lcl|NC_003076.8_cds_NP_201377.2_47770
OG0000848	g35721.t3, g35969.t1, g35968.t2, g35968.t1, g35721.t1, g35721.t2, g35696.t1	lcl|NC_037304.1_cds_YP_009472114.2_48165
OG0000909	g28843.t1	lcl|NC_003071.7_cds_NP_001324864.1_17083, lcl|NC_003071.7_cds_NP_180761.2_17086, lcl|NC_003071.7_cds_NP_001189654.1_17085, lcl|NC_003071.7_cds_NP_001324865.1_17084, lcl|NC_003070.9_cds_NP_001322092.1_911, lcl|NC_003070.9_cds_NP_172038.4_912
OG0000910	g30297.t1	lcl|NC_003070.9_cds_NP_563741.1_917, lcl|NC_003075.7_cds_NP_974544.1_31897, lcl|NC_003075.7_cds_NP_849541.2_31895, lcl|NC_003075.7_cds_NP_193152.2_31896, lcl|NC_003074.8_cds_NP_001189956.1_24675, lcl|NC_003074.8_cds_NP_189008.1_24674
OG0000913	g30697.t1	lcl|NC_003070.9_cds_NP_172258.1_1425, lcl|NC_003074.8_cds_NP_190189.1_26475, lcl|NC_003074.8_cds_NP_190184.1_26467, lcl|NC_003076.8_cds_NP_200799.1_46610, lcl|NC_003071.7_cds_NP_181283.1_18127, lcl|NC_003074.8_cds_NP_001319739.1_27833
OG0000914	g29976.t1, g6831.t1, g13448.t1	lcl|NC_003071.7_cds_NP_180289.3_16180, lcl|NC_003071.7_cds_NP_001189614.1_16181, lcl|NC_003070.9_cds_NP_001184935.1_1561, lcl|NC_003070.9_cds_NP_172318.1_1560
OG0000916	g34482.t1	lcl|NC_003070.9_cds_NP_172364.3_1659, lcl|NC_003070.9_cds_NP_001321042.1_1663, lcl|NC_003070.9_cds_NP_001077496.1_1662, lcl|NC_003070.9_cds_NP_001321041.1_1664, lcl|NC_003070.9_cds_NP_563828.2_1661, lcl|NC_003070.9_cds_NP_001077495.1_1660
OG0000917	g22269.t1	lcl|NC_003070.9_cds_NP_001322908.1_1799, lcl|NC_003070.9_cds_NP_172428.1_1801, lcl|NC_003070.9_cds_NP_001322909.1_1798, lcl|NC_003070.9_cds_NP_001322907.1_1800, lcl|NC_003070.9_cds_NP_001322906.1_1797, lcl|NC_003070.9_cds_NP_001117256.1_1802
OG0000918	g31251.t1, g35482.t1, g18288.t1, g35055.t1, g35055.t2, g35482.t2	lcl|NC_003070.9_cds_NP_172433.2_1809
OG0000925	g18020.t1	lcl|NC_003070.9_cds_NP_973812.1_2298, lcl|NC_003070.9_cds_NP_001321932.1_2297, lcl|NC_003070.9_cds_NP_172651.1_2295, lcl|NC_003070.9_cds_NP_001321930.1_2299, lcl|NC_003070.9_cds_NP_849647.1_2294, lcl|NC_003070.9_cds_NP_001321931.1_2296
OG0000926	g4109.t1	lcl|NC_003070.9_cds_NP_001323303.1_9282
OG0000926	g23352.t1	lcl|NC_003070.9_cds_NP_001323301.1_9280, lcl|NC_003070.9_cds_NP_563901.1_2362, lcl|NC_003070.9_cds_NP_564798.1_9279, lcl|NC_003070.9_cds_NP_001323302.1_9281
OG0000932	g2329.t1	lcl|NC_003070.9_cds_NP_973825.1_2746, lcl|NC_003070.9_cds_NP_563951.1_2745, lcl|NC_003071.7_cds_NP_565289.1_12985, lcl|NC_003071.7_cds_NP_001325163.1_12982, lcl|NC_003071.7_cds_NP_001325162.1_12983, lcl|NC_003071.7_cds_NP_001325164.1_12984
OG0000937	g28029.t1	lcl|NC_003070.9_cds_NP_565195.1_12195, lcl|NC_003070.9_cds_NP_001117619.1_12196, lcl|NC_003070.9_cds_NP_001322698.1_12194, lcl|NC_003070.9_cds_NP_001323031.1_3213, lcl|NC_003070.9_cds_NP_001323032.1_3214, lcl|NC_003070.9_cds_NP_001319021.1_3212
OG0000952	g32363.t1	lcl|NC_003070.9_cds_NP_173830.1_4554, lcl|NC_003070.9_cds_NP_001323064.1_10641, lcl|NC_003070.9_cds_NP_177163.3_10642, lcl|NC_003070.9_cds_NP_001185080.1_4552, lcl|NC_003070.9_cds_NP_173829.3_4553, lcl|NC_003070.9_cds_NP_001323398.1_4551
OG0000954	g1973.t1, g10686.t1, g32636.t1	lcl|NC_003070.9_cds_NP_176973.1_10295, lcl|NC_003070.9_cds_NP_001322233.1_4645, lcl|NC_003070.9_cds_NP_173873.5_4644, lcl|NC_003070.9_cds_NP_001322232.1_4643
OG0000959	g1852.t1	lcl|NC_003070.9_cds_NP_001154385.1_5426, lcl|NC_003071.7_cds_NP_180995.1_17580, lcl|NC_003071.7_cds_NP_001323764.1_17579, lcl|NC_003070.9_cds_NP_849729.1_5424, lcl|NC_003070.9_cds_NP_001077626.1_5423, lcl|NC_003070.9_cds_NP_564343.1_5425
OG0000967	g33838.t1	lcl|NC_003075.7_cds_NP_001328904.1_31072, lcl|NC_003070.9_cds_NP_564433.1_6102, lcl|NC_003070.9_cds_NP_001321551.1_6101, lcl|NC_003070.9_cds_NP_001321552.1_6100, lcl|NC_003075.7_cds_NP_001328903.1_31073, lcl|NC_003075.7_cds_NP_192719.1_31071
OG0000970	g22859.t1, g5656.t1, g19410.t1, g35050.t1	lcl|NC_003070.9_cds_NP_175127.1_6659
OG0000970	g12795.t1	lcl|NC_003070.9_cds_NP_001320473.1_6660
OG0000972	g18765.t1, g9188.t1	lcl|NC_003074.8_cds_NP_188412.2_23584, lcl|NC_003070.9_cds_NP_001323023.1_6967, lcl|NC_003070.9_cds_NP_001031155.4_6966, lcl|NC_003070.9_cds_NP_564529.4_6965, lcl|NC_003070.9_cds_NP_001154409.1_6964
OG0000973	g1472.t1	lcl|NC_003071.7_cds_NP_001324851.1_19672, lcl|NC_003070.9_cds_NP_175317.1_7043, lcl|NC_003070.9_cds_NP_973996.1_7044, lcl|NC_003071.7_cds_NP_001318428.1_19673, lcl|NC_003071.7_cds_NP_001324852.1_19674, lcl|NC_003071.7_cds_NP_182055.1_19675
OG0000975	g14969.t1, g2725.t1	lcl|NC_003070.9_cds_NP_850960.1_7118, lcl|NC_003070.9_cds_NP_175359.2_7117, lcl|NC_003070.9_cds_NP_001323160.1_7120, lcl|NC_003070.9_cds_NP_001323161.1_7119, lcl|NC_003070.9_cds_NP_175516.1_7392
OG0000976	g24914.t2, g24914.t1	lcl|NC_003074.8_cds_NP_188676.1_24098, lcl|NC_003074.8_cds_NP_001327803.1_24097, lcl|NC_003070.9_cds_NP_175485.1_7348, lcl|NC_003070.9_cds_NP_001320604.1_7349, lcl|NC_003070.9_cds_NP_001320603.1_7347
OG0000978	g3824.t1, g20327.t1, g3754.t1, g959.t1	lcl|NC_003070.9_cds_NP_001322920.1_7679, lcl|NC_003070.9_cds_NP_175666.1_7680, lcl|NC_003070.9_cds_NP_001322921.1_7678
OG0000980	g32814.t1	lcl|NC_003070.9_cds_NP_001319223.1_8005, lcl|NC_003070.9_cds_NP_001322413.1_8006, lcl|NC_003070.9_cds_NP_175830.1_8007, lcl|NC_003074.8_cds_NP_001327739.1_22804, lcl|NC_003074.8_cds_NP_001327738.1_22803, lcl|NC_003074.8_cds_NP_188006.4_22802
OG0000983	g33124.t1	lcl|NC_003070.9_cds_NP_849808.1_8113, lcl|NC_003070.9_cds_NP_974030.1_8114, lcl|NC_003070.9_cds_NP_175880.1_8112, lcl|NC_003076.8_cds_NP_201152.1_47309, lcl|NC_003076.8_cds_NP_001032130.1_47310, lcl|NC_003074.8_cds_NP_190428.1_26929
OG0000985	g14922.t1	lcl|NC_003070.9_cds_NP_175948.1_8252, lcl|NC_003070.9_cds_NP_001321103.1_8251, lcl|NC_003070.9_cds_NP_849812.1_8253, lcl|NC_003070.9_cds_NP_001321102.1_8254, lcl|NC_003074.8_cds_NP_187953.1_22691, lcl|NC_003074.8_cds_NP_001030688.1_22692
OG0000986	g14397.t1	lcl|NC_003070.9_cds_NP_001321918.1_8355, lcl|NC_003070.9_cds_NP_001319248.1_8353, lcl|NC_003070.9_cds_NP_175996.2_8357, lcl|NC_003070.9_cds_NP_001323306.1_8358, lcl|NC_003070.9_cds_NP_175994.3_8354, lcl|NC_003075.7_cds_NP_001320126.1_35924
OG0000996	g24584.t1	lcl|NC_003075.7_cds_NP_001328560.1_34184, lcl|NC_003075.7_cds_NP_001328559.1_34185, lcl|NC_003070.9_cds_NP_001322281.1_9193, lcl|NC_003070.9_cds_NP_176404.3_9192, lcl|NC_003075.7_cds_NP_194217.2_34183, lcl|NC_003075.7_cds_NP_001328558.1_34182
OG0000997	g24922.t1, g955.t1	lcl|NC_003070.9_cds_NP_001185293.1_9198, lcl|NC_003070.9_cds_NP_176409.1_9199, lcl|NC_003075.7_cds_NP_192370.1_30558, lcl|NC_003075.7_cds_NP_001190795.1_33589, lcl|NC_003075.7_cds_NP_193930.1_33588
OG0001003	g5915.t1, g34746.t1	lcl|NC_003070.9_cds_NP_001185327.1_9927, lcl|NC_003070.9_cds_NP_001031240.1_9928, lcl|NC_003070.9_cds_NP_176794.1_9926, lcl|NC_003076.8_cds_NP_198576.1_42525, lcl|NC_003074.8_cds_NP_188409.1_23581
OG0001006	g19019.t1	lcl|NC_003076.8_cds_NP_001331680.1_42694, lcl|NC_003076.8_cds_NP_568558.1_42692, lcl|NC_003070.9_cds_NP_564890.1_10110, lcl|NC_003070.9_cds_NP_974099.1_10111, lcl|NC_003070.9_cds_NP_001322827.1_10112, lcl|NC_003076.8_cds_NP_001331681.1_42693
OG0001009	g5144.t1	lcl|NC_003070.9_cds_NP_974100.1_10237, lcl|NC_003070.9_cds_NP_564907.1_10236, lcl|NC_003070.9_cds_NP_001077787.1_10235, lcl|NC_003070.9_cds_NP_001319339.1_10234, lcl|NC_003070.9_cds_NP_849857.1_10233, lcl|NC_003070.9_cds_NP_001321682.1_10238
OG0001031	g8097.t1	lcl|NC_003071.7_cds_NP_179324.2_14330, lcl|NC_003071.7_cds_NP_001323667.1_14331, lcl|NC_003071.7_cds_NP_565412.1_14332, lcl|NC_003075.7_cds_NP_001328326.1_36288, lcl|NC_003075.7_cds_NP_001328325.1_36286, lcl|NC_003075.7_cds_NP_567984.1_36287
OG0001032	g5711.t1, g34924.t1, g17308.t1	lcl|NC_003075.7_cds_NP_195309.2_36387, lcl|NC_003075.7_cds_NP_001329491.1_36386, lcl|NC_003071.7_cds_NP_179364.2_14400, lcl|NC_003071.7_cds_NP_001189544.1_14399
OG0001036	g34099.t1, g19474.t1	lcl|NC_003071.7_cds_NP_565477.1_14887
OG0001036	g3252.t1	lcl|NC_003075.7_cds_NP_192554.1_30814
OG0001036	g17131.t1	lcl|NC_003075.7_cds_NP_194576.5_34889
OG0001039	g26431.t1, g33815.t1, g1776.t1	lcl|NC_003071.7_cds_NP_179768.1_15151, lcl|NC_003075.7_cds_NP_195645.1_37017, lcl|NC_003076.8_cds_NP_201279.1_47545, lcl|NC_003076.8_cds_NP_196549.1_38776
OG0001042	g13550.t1, g31399.t1, g35389.t1, g19065.t1, g33906.t2, g33906.t1	lcl|NC_003071.7_cds_NP_179885.1_15381
OG0001045	g33050.t1, g14275.t1	lcl|NC_003075.7_cds_NP_001329796.1_35547, lcl|NC_003075.7_cds_NP_974656.1_35548, lcl|NC_003075.7_cds_NP_194914.1_35546, lcl|NC_003071.7_cds_NP_180079.1_15756, lcl|NC_003071.7_cds_NP_001324497.1_15755
OG0001048	g28431.t1	lcl|NC_003071.7_cds_NP_180478.1_16527, lcl|NC_003071.7_cds_NP_001324547.1_16533, lcl|NC_003071.7_cds_NP_180483.1_16534, lcl|NC_003071.7_cds_NP_180482.1_16531, lcl|NC_003071.7_cds_NP_001189630.1_16532, lcl|NC_003071.7_cds_NP_001324126.1_16526
OG0001049	g26984.t1	lcl|NC_003071.7_cds_NP_001077974.1_16568, lcl|NC_003071.7_cds_NP_001318311.1_16567, lcl|NC_003071.7_cds_NP_973559.1_16565, lcl|NC_003071.7_cds_NP_565681.1_16564, lcl|NC_003071.7_cds_NP_850133.1_16563, lcl|NC_003071.7_cds_NP_001077975.1_16566
OG0001058	g30875.t1, g8016.t1	lcl|NC_003074.8_cds_NP_566973.2_27687, lcl|NC_003074.8_cds_NP_850687.1_27688, lcl|NC_003074.8_cds_NP_001327649.1_27686, lcl|NC_003074.8_cds_NP_001319733.1_27685, lcl|NC_003071.7_cds_NP_181176.1_17906
OG0001059	g16303.t1, g20803.t1, g18582.t1, g7108.t1, g30849.t1	lcl|NC_003071.7_cds_NP_001324936.1_17936, lcl|NC_003071.7_cds_NP_181192.1_17935
OG0001060	g33269.t1, g35588.t1, g35588.t2, g33269.t2, g23586.t1, g13075.t1	lcl|NC_003071.7_cds_NP_565866.1_18145
OG0001066	g9713.t1	lcl|NC_003074.8_cds_NP_191203.2_28380, lcl|NC_003074.8_cds_NP_001326816.1_28381, lcl|NC_003074.8_cds_NP_001326815.1_28382, lcl|NC_003071.7_cds_NP_181613.2_18788, lcl|NC_003071.7_cds_NP_973650.1_18789, lcl|NC_003071.7_cds_NP_001324652.1_18790
OG0001075	g35362.t1	lcl|NC_003071.7_cds_NP_001325100.1_19226, lcl|NC_003071.7_cds_NP_001325098.1_19225, lcl|NC_003074.8_cds_NP_191470.1_28873, lcl|NC_003071.7_cds_NP_001318408.1_19224, lcl|NC_003071.7_cds_NP_181825.1_19227, lcl|NC_003071.7_cds_NP_001325099.1_19228
OG0001078	g26599.t1	lcl|NC_003074.8_cds_NP_850724.1_29044, lcl|NC_003074.8_cds_NP_850723.1_29045
OG0001078	g12645.t1, g24325.t1	lcl|NC_003071.7_cds_NP_566011.1_19482, lcl|NC_003074.8_cds_NP_191556.1_29043
OG0001084	g23947.t1, g28985.t1	lcl|NC_003071.7_cds_NP_566106.1_20139, lcl|NC_003071.7_cds_NP_001323716.1_20141, lcl|NC_003071.7_cds_NP_001323717.1_20140, lcl|NC_003074.8_cds_NP_191845.2_29595, lcl|NC_003074.8_cds_NP_001327461.1_29596
