bin_i	bin_j	mean_r2	n_pairs
1:18490001-18500000	1:20340001-20350000	0.00159043	30987
1:17350001-17360000	1:20180001-20190000	0.00310635	140958
1:18140001-18150000	1:18350001-18360000	0.00890344	87
1:17940001-17950000	1:18900001-18910000	0.0147381	31920
1:17690001-17700000	1:19800001-19810000	0.00312994	29536
1:17360001-17370000	1:18210001-18220000	0.00902255	68908
1:17450001-17460000	1:18930001-18940000	0.00598421	28024
1:17630001-17640000	1:19070001-19080000	0.00324692	23688
1:18000001-18010000	1:18250001-18260000	0.00470968	8280
1:19780001-19790000	1:20420001-20430000	0.00267703	5363
1:17800001-17810000	1:18800001-18810000	0.00732442	36062
1:19640001-19650000	1:20320001-20330000	0.00283325	89376
1:19180001-19190000	1:19330001-19340000	0.0132419	96075
1:19150001-19160000	1:20350001-20360000	0.00342508	78260
1:18780001-18790000	1:21170001-21180000	0.00229261	127804
1:19910001-19920000	1:21180001-21190000	0.00327953	69657
1:17490001-17500000	1:18540001-18550000	0.00155161	120
1:18070001-18080000	1:20920001-20930000	0.00222455	29904
1:19620001-19630000	1:19920001-19930000	0.00421068	185
1:19500001-19510000	1:20220001-20230000	0.00155905	678
1:19130001-19140000	1:19950001-19960000	0.00685237	4284
1:19040001-19050000	1:19230001-19240000	0.00178116	4004
1:18640001-18650000	1:21070001-21080000	0.00262605	20212
1:19010001-19020000	1:20250001-20260000	0.00186417	24780
1:19100001-19110000	1:20970001-20980000	0.00255041	121114
1:20000001-20010000	1:21220001-21230000	0.00266231	120012
1:18350001-18360000	1:19810001-19820000	0.00823276	630
1:18230001-18240000	1:20110001-20120000	0.00387773	3480
1:18810001-18820000	1:20800001-20810000	0.00296674	128757
1:20270001-20280000	1:20840001-20850000	0.00243299	19695
1:18210001-18220000	1:19710001-19720000	0.0117697	17976
1:20130001-20140000	1:20740001-20750000	0.00308715	35717
1:18260001-18270000	1:19190001-19200000	0.0030761	25935
1:18150001-18160000	1:18550001-18560000	0.0123637	18720
1:17360001-17370000	1:20380001-20390000	0.00335904	102718
1:18120001-18130000	1:19090001-19100000	0.00675741	9360
1:17850001-17860000	1:20350001-20360000	0.00213852	14820
1:18910001-18920000	1:19380001-19390000	0.00222145	3540
1:18010001-18020000	1:18450001-18460000	0.00719617	10136
1:17340001-17350000	1:19980001-19990000	0.00215875	14553
1:17800001-17810000	1:20970001-20980000	0.00300889	104234
1:17500001-17510000	1:19170001-19180000	0.00199807	3591
1:19650001-19660000	1:20520001-20530000	0.00317127	27675
1:19130001-19140000	1:21090001-21100000	0.00327894	1275
1:17360001-17370000	1:17830001-17840000	0.00230535	644
1:19510001-19520000	1:20420001-20430000	0.00249126	3286
1:18260001-18270000	1:21260001-21270000	0.00159616	9425
1:19050001-19060000	1:19430001-19440000	0.00144775	247
1:17480001-17490000	1:21120001-21130000	0.00293348	23305
1:18510001-18520000	1:21170001-21180000	0.00164363	16376
1:20460001-20470000	1:21180001-21190000	0.00363645	161448
1:19690001-19700000	1:20130001-20140000	0.00497545	43571
1:19290001-19300000	1:20880001-20890000	0.00259912	7344
1:17340001-17350000	1:21020001-21030000	0.00453024	100089
1:18220001-18230000	1:19910001-19920000	0.0100971	10486
1:20630001-20640000	1:20910001-20920000	0.00501069	56700
1:20190001-20200000	1:21130001-21140000	0.00227432	13616
1:20140001-20150000	1:20940001-20950000	0.00260808	21995
1:20050001-20060000	1:20220001-20230000	0.00155919	60
1:17970001-17980000	1:21190001-21200000	0.00476315	110952
1:20000001-20010000	1:20840001-20850000	0.00244379	55348
1:17860001-17870000	1:20550001-20560000	0.00362183	55132
1:17830001-17840000	1:21090001-21100000	0.00157694	50
1:18650001-18660000	1:18720001-18730000	0.0303652	9487
1:18920001-18930000	1:19580001-19590000	0.00188213	23046
1:17720001-17730000	1:20450001-20460000	0.00287812	112660
1:18510001-18520000	1:18620001-18630000	0.0068595	1656
1:18890001-18900000	1:19690001-19700000	0.00893554	122791
1:17510001-17520000	1:19370001-19380000	0.00512107	111300
1:19550001-19560000	1:19600001-19610000	0.0022022	3120
1:19130001-19140000	1:20610001-20620000	0.00425466	27081
1:17690001-17700000	1:19080001-19090000	0.00298317	3016
1:17550001-17560000	1:18170001-18180000	0.00992124	11550
1:19180001-19190000	1:20090001-20100000	0.00734648	160552
1:17720001-17730000	1:17900001-17910000	0.0163486	158772
1:19970001-19980000	1:20380001-20390000	0.00249573	17545
1:19410001-19420000	1:19500001-19510000	0.00824031	17628
1:17800001-17810000	1:18080001-18090000	0.0177831	60515
1:19160001-19170000	1:19690001-19700000	0.0097588	26795
1:17350001-17360000	1:21220001-21230000	0.00221221	80811
1:20690001-20700000	1:21300001-21310000	0.00327306	2590
1:20330001-20340000	1:21280001-21290000	0.00403981	22479
1:19190001-19200000	1:19960001-19970000	0.00485757	72618
1:18680001-18690000	1:19870001-19880000	0.00661975	90226
1:18560001-18570000	1:20170001-20180000	0.00183085	17160
1:18980001-18990000	1:19160001-19170000	0.0239757	32545
1:17840001-17850000	1:21290001-21300000	0.0020708	11280
1:17870001-17880000	1:20750001-20760000	0.0031252	131313
1:18540001-18550000	1:19770001-19780000	0.00228277	808
1:18990001-19000000	1:21160001-21170000	0.0024126	25359
1:18840001-18850000	1:19060001-19070000	0.0136483	18232
1:17700001-17710000	1:21190001-21200000	0.0029738	17688
1:17760001-17770000	1:19630001-19640000	0.00208842	31158
1:18130001-18140000	1:18810001-18820000	0.00320291	57615
1:17730001-17740000	1:20650001-20660000	0.00253234	39780
1:20190001-20200000	1:20750001-20760000	0.00331789	25116
1:19280001-19290000	1:20910001-20920000	0.00196333	4860
1:18040001-18050000	1:18190001-18200000	0.0782847	3460
1:19460001-19470000	1:21050001-21060000	0.00172047	6500
1:19190001-19200000	1:21000001-21010000	0.00374242	82992
1:19140001-19150000	1:20810001-20820000	0.00424383	110166
1:17560001-17570000	1:18370001-18380000	0.00070905	110
1:19980001-19990000	1:20580001-20590000	0.00196598	23030
1:19420001-19430000	1:19700001-19710000	0.00180185	5994
1:17990001-18000000	1:19360001-19370000	0.00227932	1348
1:19000001-19010000	1:20710001-20720000	0.00229526	2652
1:19170001-19180000	1:19890001-19900000	0.00787801	57798
1:19050001-19060000	1:20190001-20200000	0.00218805	1748
1:19840001-19850000	1:20480001-20490000	0.0032469	1680
1:18570001-18580000	1:20370001-20380000	0.00237901	9500
1:19700001-19710000	1:20380001-20390000	0.00384622	51678
1:18920001-18930000	1:20240001-20250000	0.00170392	11454
1:18460001-18470000	1:19250001-19260000	0.00190219	8556
1:18550001-18560000	1:19970001-19980000	0.00185062	8800
1:18430001-18440000	1:20270001-20280000	0.00192798	8775
1:17650001-17660000	1:20130001-20140000	0.00360194	20944
1:17350001-17360000	1:20840001-20850000	0.00234729	37269
1:18190001-18200000	1:19200001-19210000	0.0104629	760
1:17680001-17690000	1:19110001-19120000	0.0078634	27512
1:20690001-20700000	1:20920001-20930000	0.00412948	6230
1:20420001-20430000	1:20590001-20600000	0.00464574	3534
1:18710001-18720000	1:19160001-19170000	0.0228653	12305
1:18410001-18420000	1:19870001-19880000	0.00129016	3206
1:17510001-17520000	1:20030001-20040000	0.00296477	103740
1:17600001-17610000	1:20750001-20760000	0.00174564	22386
1:17540001-17550000	1:19010001-19020000	0.00731977	10920
1:17630001-17640000	1:19730001-19740000	0.00308076	26208
1:18000001-18010000	1:18910001-18920000	0.00315454	2760
1:18050001-18060000	1:18390001-18400000	0.00217054	48
1:19960001-19970000	1:21220001-21230000	0.00275269	39858
1:19470001-19480000	1:21250001-21260000	0.00198434	99000
1:18990001-19000000	1:20780001-20790000	0.00239942	34839
1:19330001-19340000	1:21150001-21160000	0.0025818	77625
1:18310001-18320000	1:19990001-20000000	0.00102604	88
1:18060001-18070000	1:21040001-21050000	0.00308307	14602
1:17430001-17440000	1:18470001-18480000	0.00196412	33235
1:18550001-18560000	1:21010001-21020000	0.0021821	28480
1:19010001-19020000	1:20910001-20920000	0.00409958	68040
1:17920001-17930000	1:18440001-18450000	0.00171459	5415
1:19190001-19200000	1:20620001-20630000	0.00267716	202692
1:19710001-19720000	1:20580001-20590000	0.00270615	39480
1:18470001-18480000	1:19450001-19460000	0.00383156	680
1:18960001-18970000	1:19420001-19430000	0.00229864	4736
1:18930001-18940000	1:20440001-20450000	0.00310529	17360
1:17680001-17690000	1:21280001-21290000	0.00287578	68961
1:18050001-18060000	1:20460001-20470000	0.00259374	2976
1:17990001-18000000	1:18980001-18990000	0.00307427	1132
1:18300001-18310000	1:20370001-20380000	0.00403529	2660
1:20250001-20260000	1:20380001-20390000	0.00386134	37642
1:17550001-17560000	1:19210001-19220000	0.00197775	8400
1:17640001-17650000	1:19930001-19940000	0.00487706	32825
1:17760001-17770000	1:20390001-20400000	0.00175348	16956
1:18850001-18860000	1:18880001-18890000	0.025636	1296
1:17410001-17420000	1:19110001-19120000	0.0064613	59584
1:17500001-17510000	1:19830001-19840000	0.00157101	8988
1:17620001-17630000	1:20290001-20300000	0.00403179	155979
1:17980001-17990000	1:18020001-18030000	0.118446	3382
1:17790001-17800000	1:20660001-20670000	0.00246324	82824
1:18710001-18720000	1:18780001-18790000	0.0562681	38413
1:18560001-18570000	1:21210001-21220000	0.00202232	10608
1:17930001-17940000	1:18640001-18650000	0.014362	15159
1:17990001-18000000	1:20020001-20030000	0.00148452	528
1:19200001-19210000	1:21250001-21260000	0.00391812	10032
1:19770001-19780000	1:20160001-20170000	0.00533706	39693
1:19470001-19480000	1:20870001-20880000	0.00215746	78750
1:20760001-20770000	1:21130001-21140000	0.00376338	36704
1:19750001-19760000	1:19760001-19770000	0.00316438	850
1:19720001-19730000	1:20780001-20790000	0.00329336	9849
1:20620001-20630000	1:21030001-21040000	0.00313183	65024
1:18060001-18070000	1:20660001-20670000	0.00252474	46648
1:18550001-18560000	1:20630001-20640000	0.00227668	28000
1:18970001-18980000	1:19620001-19630000	0.0199619	14504
1:19690001-19700000	1:20890001-20900000	0.00446111	100190
1:19610001-19620000	1:19660001-19670000	0.0059535	7650
1:18340001-18350000	1:19550001-19560000	0.00144112	780
1:18800001-18810000	1:20540001-20550000	0.00259394	43654
1:20260001-20270000	1:20580001-20590000	0.00368373	145700
1:17560001-17570000	1:19410001-19420000	0.00185334	17160
1:18200001-18210000	1:19450001-19460000	0.00203957	480
1:17410001-17420000	1:21280001-21290000	0.00265223	149352
1:20120001-20130000	1:20480001-20490000	0.00204513	2128
1:18490001-18500000	1:20280001-20290000	0.00170764	50886
1:17420001-17430000	1:19310001-19320000	0.00260787	84825
1:17630001-17640000	1:20490001-20500000	0.00206766	56826
1:20090001-20100000	1:20590001-20600000	0.00636244	42864
1:18720001-18730000	1:18980001-18990000	0.0275252	14999
1:17850001-17860000	1:18120001-18130000	0.00382594	4446
1:17690001-17700000	1:19740001-19750000	0.00179495	10192
1:17710001-17720000	1:18020001-18030000	0.0106053	10146
1:17800001-17810000	1:18740001-18750000	0.0124133	124735
1:18040001-18050000	1:21300001-21310000	0.00365595	12802
1:19760001-19770000	1:19960001-19970000	0.0105658	15470
1:19390001-19400000	1:21160001-21170000	0.00229024	25466
1:19340001-19350000	1:20970001-20980000	0.00305372	273878
1:19250001-19260000	1:20250001-20260000	0.00264671	14632
1:18880001-18890000	1:21070001-21080000	0.00322382	5952
1:20240001-20250000	1:21220001-21230000	0.00195174	36354
1:17490001-17500000	1:18480001-18490000	0.0017682	900
1:18070001-18080000	1:20860001-20870000	0.00271392	18648
1:18470001-18480000	1:20110001-20120000	0.00168367	5100
1:18560001-18570000	1:20830001-20840000	0.00164106	15860
1:19620001-19630000	1:19860001-19870000	0.0055973	1073
1:19500001-19510000	1:20160001-20170000	0.0036	44409
1:19200001-19210000	1:20870001-20880000	0.00330137	7980
1:19040001-19050000	1:19170001-19180000	0.0123664	15561
1:18750001-18760000	1:19000001-19010000	0.0226504	44880
1:18840001-18850000	1:19720001-19730000	0.00873859	7102
1:18720001-18730000	1:20020001-20030000	0.00860361	6996
1:18260001-18270000	1:19030001-19040000	0.00189543	9685
1:20730001-20740000	1:21290001-21300000	0.00405466	10152
1:20270001-20280000	1:20780001-20790000	0.00416654	28665
1:18210001-18220000	1:19650001-19660000	0.0124692	48150
1:18700001-18710000	1:19620001-19630000	0.0161374	14134
1:20620001-20630000	1:20650001-20660000	0.012936	77724
1:20130001-20140000	1:20680001-20690000	0.00388563	20570
1:17640001-17650000	1:20690001-20700000	0.00366973	11375
1:19760001-19770000	1:21000001-21010000	0.00219958	17680
1:18390001-18400000	1:19360001-19370000	0.00172791	1348
1:18250001-18260000	1:18450001-18460000	0.00160158	2016
1:17500001-17510000	1:20590001-20600000	0.00187927	2394
1:17470001-17480000	1:18310001-18320000	0.00159664	37
1:19370001-19380000	1:21090001-21100000	0.00194906	6625
1:17330001-17340000	1:18210001-18220000	0.00577987	99510
1:17420001-17430000	1:18930001-18940000	0.00354746	16182
1:19750001-19760000	1:20420001-20430000	0.00175546	310
1:19260001-19270000	1:20450001-20460000	0.00195632	3225
1:18480001-18490000	1:20310001-20320000	0.00165336	20520
1:18750001-18760000	1:21170001-21180000	0.0024021	78320
1:19120001-19130000	1:20350001-20360000	0.00315861	56940
1:17970001-17980000	1:21030001-21040000	0.0027224	35328
1:18340001-18350000	1:20210001-20220000	0.00404883	538
1:18430001-18440000	1:20930001-20940000	0.00175153	4455
1:18920001-18930000	1:20900001-20910000	0.00189187	759
1:18760001-18770000	1:19200001-19210000	0.0171904	9880
1:17480001-17490000	1:21060001-21070000	0.0037759	62015
1:18460001-18470000	1:19910001-19920000	0.00200108	7383
1:20770001-20780000	1:20950001-20960000	0.00226379	6000
1:18610001-18620000	1:21070001-21080000	0.00171802	14012
1:19690001-19700000	1:20070001-20080000	0.00391381	1631
1:19390001-19400000	1:20780001-20790000	0.00180417	34986
1:18200001-18210000	1:20110001-20120000	0.00918397	3600
1:18620001-18630000	1:19100001-19110000	0.00925577	10332
1:18710001-18720000	1:19820001-19830000	0.00836774	749
1:20630001-20640000	1:20850001-20860000	0.00222446	2275
1:20050001-20060000	1:20160001-20170000	0.0029085	3930
1:18370001-18380000	1:19290001-19300000	0.00116427	68
1:20000001-20010000	1:20780001-20790000	0.00276499	80556
1:17470001-17480000	1:20480001-20490000	0.00326886	4144
1:18230001-18240000	1:19190001-19200000	0.00501766	23142
1:18260001-18270000	1:18650001-18660000	0.00199239	11635
1:18890001-18900000	1:19530001-19540000	0.0101676	179707
1:17690001-17700000	1:20400001-20410000	0.00263118	29848
1:17480001-17490000	1:18510001-18520000	0.00234719	18170
1:17750001-17760000	1:19370001-19380000	0.00168123	2385
1:18120001-18130000	1:18550001-18560000	0.00566405	12480
1:19380001-19390000	1:21290001-21300000	0.0029307	27730
1:17340001-17350000	1:18410001-18420000	0.00217908	4158
1:19760001-19770000	1:20620001-20630000	0.00479106	43180
1:19240001-19250000	1:21190001-21200000	0.00175315	15678
1:18390001-18400000	1:18980001-18990000	0.00458109	1132
1:17860001-17870000	1:17940001-17950000	0.0306401	50120
1:19620001-19630000	1:20520001-20530000	0.0037389	4551
1:19160001-19170000	1:19530001-19540000	0.0126756	39215
1:19130001-19140000	1:20550001-20560000	0.00543824	15708
1:19100001-19110000	1:21090001-21100000	0.00276457	7175
1:17980001-17990000	1:21230001-21240000	0.00534245	12994
1:18350001-18360000	1:20410001-20420000	0.00310069	663
1:17720001-17730000	1:17840001-17850000	0.0167067	62880
1:19410001-19420000	1:19440001-19450000	0.0294499	14820
1:18620001-18630000	1:21270001-21280000	0.00292448	4212
1:19890001-19900000	1:20950001-20960000	0.0039517	84500
1:17840001-17850000	1:21130001-21140000	0.00240745	17760
1:18210001-18220000	1:20310001-20320000	0.00378677	73188
1:18380001-18390000	1:19490001-19500000	0.00240977	2420
1:17700001-17710000	1:21030001-21040000	0.00218556	5632
1:20500001-20510000	1:20950001-20960000	0.00485145	78000
1:17480001-17490000	1:20680001-20690000	0.00264649	43450
1:18240001-18250000	1:19390001-19400000	0.00575725	13566
1:18390001-18400000	1:20020001-20030000	0.00436647	528
1:17970001-17980000	1:20650001-20660000	0.00349761	42228
1:17760001-17770000	1:19570001-19580000	0.00169734	16740
1:18130001-18140000	1:18750001-18760000	0.004412	25300
1:18620001-18630000	1:18720001-18730000	0.0139345	1908
1:17340001-17350000	1:20580001-20590000	0.00206597	139590
1:18100001-18110000	1:19290001-19300000	0.00279551	3672
1:17350001-17360000	1:18610001-18620000	0.00179252	41697
1:17620001-17630000	1:19470001-19480000	0.00213912	178875
1:19770001-19780000	1:20820001-20830000	0.00261783	67064
1:19680001-19690000	1:20100001-20110000	0.00839315	53559
1:19660001-19670000	1:19700001-19710000	0.0134321	68850
1:19630001-19640000	1:20720001-20730000	0.00248389	107899
1:19540001-19550000	1:20000001-20010000	0.00585979	100832
1:19170001-19180000	1:19730001-19740000	0.0103908	35568
1:19110001-19120000	1:21290001-21300000	0.00227506	14288
1:19050001-19060000	1:20030001-20040000	0.0042462	4693
1:20040001-20050000	1:21000001-21010000	0.0036111	97344
1:17390001-17400000	1:18220001-18230000	0.00998523	29008
1:19030001-19040000	1:19630001-19640000	0.00882351	85973
1:19000001-19010000	1:20650001-20660000	0.00183668	31212
1:20170001-20180000	1:20520001-20530000	0.00328227	40590
1:17710001-17720000	1:21230001-21240000	0.00350335	38982
1:18670001-18680000	1:20270001-20280000	0.00385768	92430
1:20030001-20040000	1:20420001-20430000	0.00207914	7657
1:18490001-18500000	1:20940001-20950000	0.00183989	26235
1:17980001-17990000	1:20850001-20860000	0.00219141	1157
1:18920001-18930000	1:20180001-20190000	0.00175604	26358
1:18110001-18120000	1:19490001-19500000	0.00417027	7480
1:17840001-17850000	1:20750001-20760000	0.00308798	32760
1:17680001-17690000	1:19050001-19060000	0.00741175	3439
1:18050001-18060000	1:18230001-18240000	0.0103741	696
1:18630001-18640000	1:18920001-18930000	0.00270544	13869
1:17380001-17390000	1:19760001-19770000	0.00145839	8585
1:17350001-17360000	1:20780001-20790000	0.00284131	54243
1:20690001-20700000	1:20860001-20870000	0.00433559	3885
1:18890001-18900000	1:20290001-20300000	0.00256843	172329
1:18810001-18820000	1:19060001-19070000	0.00865834	86172
1:18900001-18910000	1:19780001-19790000	0.00520284	19722
1:17700001-17710000	1:20650001-20660000	0.0027596	6732
1:17630001-17640000	1:19670001-19680000	0.00372381	54684
1:18000001-18010000	1:18850001-18860000	0.0194307	6210
1:19960001-19970000	1:21160001-21170000	0.00224139	19474
1:18550001-18560000	1:19990001-20000000	0.00187948	14080
1:19080001-19090000	1:21180001-21190000	0.00200361	18879
1:19670001-19680000	1:19900001-19910000	0.0140811	137578
1:19550001-19560000	1:20200001-20210000	0.00366588	114660
1:19250001-19260000	1:20910001-20920000	0.00253329	40176
1:17670001-17680000	1:18470001-18480000	0.00202655	23375
1:19820001-19830000	1:21060001-21070000	0.00212886	1099
1:19530001-19540000	1:19800001-19810000	0.0104734	96844
1:19500001-19510000	1:20820001-20830000	0.00191586	75032
1:19410001-19420000	1:20100001-20110000	0.00313566	15444
1:19040001-19050000	1:19830001-19840000	0.00544433	38948
1:17920001-17930000	1:18380001-18390000	0.00149823	3135
1:19160001-19170000	1:20290001-20300000	0.00394355	37605
1:20180001-20190000	1:20720001-20730000	0.00321867	71434
1:17890001-17900000	1:18490001-18500000	0.0022817	5643
1:19190001-19200000	1:20560001-20570000	0.00453946	195111
1:18680001-18690000	1:20470001-20480000	0.00369658	129626
1:19020001-19030000	1:20190001-20200000	0.0021608	21068
1:20040001-20050000	1:20620001-20630000	0.0031567	237744
1:20670001-20680000	1:20790001-20800000	0.00339132	149298
1:18540001-18550000	1:20370001-20380000	0.00132275	3040
1:18960001-18970000	1:19360001-19370000	0.00651507	43136
1:18080001-18090000	1:19380001-19390000	0.0282579	72275
1:17880001-17890000	1:19930001-19940000	0.00482852	39188
1:17760001-17770000	1:20230001-20240000	0.00117524	6804
1:17850001-17860000	1:20950001-20960000	0.00238367	14250
1:20530001-20540000	1:20690001-20700000	0.00587378	6720
1:18910001-18920000	1:19980001-19990000	0.00127621	588
1:17620001-17630000	1:20130001-20140000	0.00347701	89199
1:17710001-17720000	1:20850001-20860000	0.00157056	3471
1:18160001-18170000	1:18490001-18500000	0.00290125	3069
1:17900001-17910000	1:19020001-19030000	0.0089992	69387
1:17410001-17420000	1:19050001-19060000	0.00362266	7448
1:18190001-18200000	1:18760001-18770000	0.0305135	5200
1:17680001-17690000	1:18670001-18680000	0.009948	85794
1:18020001-18030000	1:18390001-18400000	0.00326597	152
1:19830001-19840000	1:21260001-21270000	0.00251404	62060
1:17540001-17550000	1:18570001-18580000	0.0016151	1300
1:18660001-18670000	1:21110001-21120000	0.00260265	61425
1:18170001-18180000	1:21140001-21150000	0.00633476	4345
1:19170001-19180000	1:20490001-20500000	0.00238851	77121
1:19960001-19970000	1:20780001-20790000	0.00357758	26754
1:19400001-19410000	1:19900001-19910000	0.00817949	79567
1:17400001-17410000	1:18470001-18480000	0.00199379	45135
1:18910001-18920000	1:21020001-21030000	0.00167033	4044
1:18030001-18040000	1:21040001-21050000	0.00164609	4172
1:20860001-20870000	1:21030001-21040000	0.00275991	14208
1:20370001-20380000	1:21060001-21070000	0.00474321	59660
1:19690001-19700000	1:20730001-20740000	0.00267308	25164
1:19030001-19040000	1:20390001-20400000	0.00333754	46786
1:20050001-20060000	1:20820001-20830000	0.0015064	6640
1:19820001-19830000	1:20680001-20690000	0.00231817	770
1:19090001-19100000	1:19640001-19650000	0.026441	35280
1:18580001-18590000	1:19550001-19560000	0.00361988	51870
1:18550001-18560000	1:20570001-20580000	0.0023283	74880
1:20540001-20550000	1:20890001-20900000	0.00488532	128570
1:18410001-18420000	1:20470001-20480000	0.00185683	4606
1:17630001-17640000	1:20330001-20340000	0.00193734	7434
1:17660001-17670000	1:19310001-19320000	0.00286912	91000
1:20400001-20410000	1:20790001-20800000	0.00596734	128289
1:20090001-20100000	1:20430001-20440000	0.00425453	29328
1:18170001-18180000	1:18690001-18700000	0.0292758	11550
1:18960001-18970000	1:18980001-18990000	0.0382926	36224
1:17610001-17620000	1:19930001-19940000	0.00400018	19594
1:18030001-18040000	1:18590001-18600000	0.00815054	2240
1:18690001-18700000	1:18930001-18940000	0.0195542	13020
1:17460001-17470000	1:18050001-18060000	0.00343792	888
1:17550001-17560000	1:18770001-18780000	0.006294	31080
1:19970001-19980000	1:20980001-20990000	0.00194272	15730
1:19880001-19890000	1:20260001-20270000	0.0043967	102300
1:18040001-18050000	1:21240001-21250000	0.00545958	56571
1:17410001-17420000	1:18670001-18680000	0.00437396	185808
1:18530001-18540000	1:21210001-21220000	0.00196054	11424
1:17900001-17910000	1:18640001-18650000	0.016791	49389
1:20870001-20880000	1:21230001-21240000	0.00378603	30660
1:20380001-20390000	1:21260001-21270000	0.00218027	46255
1:19040001-19050000	1:20590001-20600000	0.00380655	10374
1:19830001-19840000	1:20880001-20890000	0.00316677	46224
1:19740001-19750000	1:20160001-20170000	0.00217825	38514
1:20730001-20740000	1:21130001-21140000	0.00330973	15984
1:20240001-20250000	1:21160001-21170000	0.00367087	17762
1:19590001-19600000	1:19810001-19820000	0.0107346	88620
1:18470001-18480000	1:20050001-20060000	0.00151671	850
1:18960001-18970000	1:20020001-20030000	0.00505004	16896
1:18170001-18180000	1:20760001-20770000	0.00324487	13640
1:20100001-20110000	1:21060001-21070000	0.00499083	15543
1:18450001-18460000	1:19650001-19660000	0.00603261	12600
1:18910001-18920000	1:20640001-20650000	0.00106476	3156
1:20370001-20380000	1:20680001-20690000	0.00367065	41800
1:17670001-17680000	1:19510001-19520000	0.00330053	29150
1:17640001-17650000	1:20530001-20540000	0.00383445	62400
1:20590001-20600000	1:20600001-20610000	0.00428837	684
1:18310001-18320000	1:19550001-19560000	0.00209691	390
1:17880001-17890000	1:20690001-20700000	0.00364097	13580
1:17530001-17540000	1:19410001-19420000	0.00259531	50388
1:17500001-17510000	1:20430001-20440000	0.00179094	1638
1:17740001-17750000	1:20590001-20600000	0.00332027	29412
1:18040001-18050000	1:18790001-18800000	0.0257724	43769
1:17960001-17970000	1:18220001-18230000	0.0540693	17444
1:17470001-17480000	1:18250001-18260000	0.00193763	1332
1:17420001-17430000	1:18870001-18880000	0.0017684	6525
1:17820001-17830000	1:18120001-18130000	0.0103203	13494
1:17330001-17340000	1:18150001-18160000	0.00666793	54405
1:19750001-19760000	1:20360001-20370000	0.00141884	5470
1:18180001-18190000	1:20960001-20970000	0.00298406	3927
1:18670001-18680000	1:20930001-20940000	0.00399423	46926
1:18970001-18980000	1:20220001-20230000	0.00138717	2352
1:19730001-19740000	1:19960001-19970000	0.00638413	37856
1:19700001-19710000	1:20980001-20990000	0.00277885	46332
1:19610001-19620000	1:20260001-20270000	0.0016694	5580
1:20770001-20780000	1:20990001-21000000	0.00201152	264
1:20600001-20610000	1:21230001-21240000	0.00148244	876
1:20110001-20120000	1:21260001-21270000	0.00302205	8700
1:18040001-18050000	1:20860001-20870000	0.00347064	19203
1:18370001-18380000	1:19130001-19140000	0.00147013	51
1:18340001-18350000	1:20150001-20160000	0.00169296	172
1:18920001-18930000	1:20840001-20850000	0.00143079	6969
1:20380001-20390000	1:20880001-20890000	0.00458257	34452
1:19010001-19020000	1:19170001-19180000	0.0145779	35910
1:17680001-17690000	1:19710001-19720000	0.00551479	15204
1:18230001-18240000	1:19030001-19040000	0.0044043	8642
1:18320001-18330000	1:19750001-19760000	0.000726191	80
1:18200001-18210000	1:20050001-20060000	0.00189661	600
1:18810001-18820000	1:19720001-19730000	0.00766504	33567
1:20240001-20250000	1:20780001-20790000	0.00387808	24402
1:17540001-17550000	1:19610001-19620000	0.00178155	936
1:17750001-17760000	1:20790001-20800000	0.00188742	4023
1:20100001-20110000	1:20680001-20690000	0.00349811	10890
1:19870001-19880000	1:21100001-21110000	0.00144585	4351
1:19380001-19390000	1:21130001-21140000	0.00265764	43660
1:17400001-17410000	1:19510001-19520000	0.00325374	56286
1:17690001-17700000	1:20340001-20350000	0.00218556	32552
1:17610001-17620000	1:20690001-20700000	0.0038833	6790
1:19730001-19740000	1:21000001-21010000	0.00252745	43264
1:19240001-19250000	1:21030001-21040000	0.00152321	4992
1:17830001-17840000	1:18320001-18330000	0.000371758	16
1:19370001-19380000	1:20550001-20560000	0.00315887	81620
1:17470001-17480000	1:17870001-17880000	0.00592274	17797
1:19620001-19630000	1:20460001-20470000	0.00325376	9176
1:19160001-19170000	1:19470001-19480000	0.00344542	43125
1:18870001-18880000	1:19300001-19310000	0.00147949	1200
1:18840001-18850000	1:20320001-20330000	0.0030032	32224
1:18590001-18600000	1:21220001-21230000	0.0046828	17520
1:18380001-18390000	1:19330001-19340000	0.0026902	12375
1:19020001-19030000	1:19370001-19380000	0.00800053	60685
1:17690001-17700000	1:17890001-17900000	0.0096638	5928
1:18730001-18740000	1:19200001-19210000	0.0133887	18886
1:18700001-18710000	1:20220001-20230000	0.00133908	2292
1:17450001-17460000	1:21060001-21070000	0.00303585	70964
1:18400001-18410000	1:20930001-20940000	0.00192001	7227
1:18240001-18250000	1:19230001-19240000	0.00276207	2508
1:20790001-20800000	1:21140001-21150000	0.00298816	35313
1:20740001-20750000	1:20950001-20960000	0.0048575	47750
1:20250001-20260000	1:20980001-20990000	0.00378449	33748
1:20160001-20170000	1:20260001-20270000	0.00550477	121830
1:20500001-20510000	1:20990001-21000000	0.00289294	3432
1:18100001-18110000	1:19130001-19140000	0.00792389	2754
1:20600001-20610000	1:20850001-20860000	0.0024377	78
1:20110001-20120000	1:20880001-20890000	0.00595149	6480
1:20020001-20030000	1:20160001-20170000	0.00617166	51876
1:19880001-19890000	1:21300001-21310000	0.00310343	24420
1:18370001-18380000	1:18750001-18760000	0.00086468	220
