index,label,MaternalLine,FlowerHead,Surv_19964,Qubit,Meet_conc,Sample_Group,Google_Latitude,
361,9-3-2,2011-2598-1,S16A,Y,31.6,T,jersey,38.96139842,
362,6-1-8,2011-2629-1,7C,Y,82.5,T,marshal,41.02868893,
363,8-6-10,2011-2620-1,10A,Y,26.9,T,morgan,39.87546016,
364,11-1-2,2011-2620-1,2C,Y,62.1,T,morgan,39.87546016,
365,4-2-9,2011-2623-1,18B,Y,38.3,T,hennepin,41.34414603,
366,2-2-9,2011-2644-1,30,Y,45.2,T,tazewell,40.69971137,
367,3-6-8,2011-2598-1,L14A,Y,66.2,T,jersey,38.96139842,
368,6-4-6,2011-2599-1,7,Y,47,T,saint_clair,38.65150728,
369,5-4-11,2011-2598-1,S15B,Y,0.512,F,N/A,38.96139842,
370,10-1-8,2011-2650-1,11B,Y,74.6,T,woodford,40.84668797,
371,4-2-1,2011-2659-1,10C,Y,30.1,T,frederick,40.07116309,
372,1-4-11,2011-2659-1,1B,Y,23.6,T,frederick,40.07116309,
373,10-6-8,2011-2638-1,28A,Y,54.2,T,scott,39.78656977,
374,1-6-4,2011-2664-1,14,Y,95.8,T,fulton2,40.20744448,
375,5-6-4,2011-2629-1,28C,Y,45,T,marshal,41.02868893,
376,10-3-7,2011-2638-1,21C,Y,78.6,T,scott,39.78656977,
377,2-5-10,2011-2675-1,5A,Y,28.3,T,schuyler,40.07010712,
378,5-1-3,2011-2636-1,18,Y,54.3,T,cass,40.01789753,
379,10-4-11,2011-2666-1,26C,Y,55.8,T,fulton3,40.46699903,
380,10-1-11,2011-2620-1,6A,Y,41.1,T,morgan,39.87546016,
381,8-6-11,2011-2620-1,10A,Y,33.1,T,morgan,39.87546016,
382,3-4-7,2011-2638-1,4B,Y,61.2,T,scott,39.78656977,
383,6-2-10,2011-2618-1,24B,Y,41.4,T,peoria,40.69352233,
384,4-4-10,2011-2598-1,S25D,Y,61.7,T,jersey,38.96139842,
385,10-2-5,2011-2638-1,3A,Y,53.2,T,scott,39.78656977,
386,5-4-9,2011-2623-1,1B,Y,66.2,T,hennepin,41.34414603,
387,4-6-11,2011-2659-1,12B,Y,46.1,T,frederick,40.07116309,
388,9-6-2,2011-2664-1,14,Y,58.2,T,fulton2,40.20744448,
389,7-6-11,2011-2618-1,5A,Y,30.7,T,peoria,40.69352233,
390,3-2-8,2011-2664-1,8,Y,62.6,T,fulton2,40.20744448,
391,10-2-8,2011-2636-1,9,Y,64.9,T,N/A,40.01789753,
392,10-2-6,2011-2638-1,3A,Y,62.2,T,scott,39.78656977,
393,2-1-10,2011-2650-1,15B,Y,71,T,woodford,40.84668797,
394,10-4-9,2011-2664-1,26,Y,66.2,T,fulton2,40.20744448,
395,6-1-9,2011-2629-1,7C,Y,46.8,T,marshal,41.02868893,
396,3-5-2,2011-2599-1,3,Y,48.3,T,saint_clair,38.65150728,
397,9-5-1,2011-2664-1,11,Y,43,T,fulton2,40.20744448,
398,2-2-4,2011-2675-1,3C,Y,65.3,T,schuyler,40.07010712,
399,7-4-1,2011-2629-1,15A,Y,43.7,T,marshal,41.02868893,
400,4-1-9,2011-2664-1,1,Y,51.8,T,fulton2,40.20744448,
401,4-5-7,2011-2618-1,25A,Y,45.7,T,peoria,40.69352233,
402,2-3-7,2011-2666-1,11B,Y,36.3,T,fulton3,40.46699903,
403,4-5-10,2011-2659-1,15A,Y,44.9,T,frederick,40.07116309,
404,10-3-4,2011-2661-1,12A,Y,47.5,T,tazewell,40.69584984,
405,3-1-7,2011-2638-1,26C,Y,28.3,T,scott,39.78656977,
406,3-3-12,2011-2636-1,4,Y,51.4,T,cass,40.01789753,
407,4-6-8,2011-2659-1,14A,Y,16.3,T,N/A,40.07116309,
408,13-1-9,2011-2664-1,13,Y,22.8,T,fulton2,40.20744448,
409,11-6-4,2011-2661-1,8A,Y,34.2,T,tazewell,40.69584984,
410,8-3-8,2011-2666-1,3B,Y,49.3,T,N/A,40.46699903,
411,4-1-6,2011-2666-1,13C,Y,31.3,T,fulton3,40.46699903,
412,5-3-11,2011-2659-1,5A,Y,34.6,T,frederick,40.07116309,
413,9-3-7,2011-2629-1,30A,Y,29.2,T,marshal,41.02868893,
414,6-5-6,2011-2623-1,27B,Y,16.4,T,N/A,41.34414603,
415,2-2-8,2011-2629-1,2B,Y,43.1,T,marshal,41.02868893,
416,8-6-9,2011-2609-1,X2,Y,17.9,T,N/A,38.69652811,
417,3-3-2,2011-2636-1,26,Y,35.5,T,cass,40.01789753,
418,4-3-12,2011-2635-1,31,Y,28.9,T,alton,38.86501905,
419,6-6-5,2011-2636-1,10,Y,65.7,T,cass,40.01789753,
420,4-6-7,2011-2659-1,14A,Y,115,T,frederick,40.07116309,
421,4-1-2,2011-2675-1,16A,Y,106,T,schuyler,40.07010712,
422,12-5-9,2011-2635-1,13,Y,234,T,alton,38.86501905,
423,3-2-11,2011-2635-1,28,Y,154,T,alton,38.86501905,
424,8-6-3,2011-2598-1,L1B,Y,134,T,jersey,38.96139842,
425,11-6-8,2011-2620-1,20B,Y,121,T,morgan,39.87546016,
426,7-1-12,2011-2661-1,18B,Y,139,T,tazewell,40.69584984,
427,10-4-8,2011-2664-1,26,Y,98.7,T,fulton2,40.20744448,
428,8-2-11,2011-2659-1,3C,Y,62.8,T,frederick,40.07116309,
429,6-5-9,2011-2620-1,19A,Y,60.4,T,morgan,39.87546016,
430,9-3-10,2011-2598-1,L3B,Y,107,T,jersey,38.96139842,
431,2-6-6,2011-2613-1,6A,Y,24,T,fulton1,40.20813715,
432,4-2-6,2011-2664-1,9,Y,99.4,T,fulton2,40.20744448,
433,11-6-9,2011-2620-1,20B,Y,108,T,morgan,39.87546016,
434,2-3-1,2011-2664-1,12,Y,47.8,T,fulton2,40.20744448,
435,3-6-6,2011-2598-1,S8A,Y,40.3,T,jersey,38.96139842,
436,12-5-4,2011-2638-1,17A,Y,36.6,T,scott,39.78656977,
437,1-6-7,2011-2661-1,5A,Y,72.6,T,tazewell,40.69584984,
438,3-1-2,2011-2675-1,15B,Y,70.6,T,schuyler,40.07010712,
439,8-5-5,2011-2636-1,1,Y,48.4,T,cass,40.01789753,
440,6-4-12,2011-2598-1,S17A,N,0.202,F,N/A,38.96139842,
441,5-5-3,2011-2598-1,L7B,Y,50.7,T,jersey,38.96139842,
442,3-6-5,2011-2598-1,S8A,Y,67.8,T,jersey,38.96139842,
443,5-1-12,2011-2635-1,11,Y,30.7,T,alton,38.86501905,
444,10-5-3,2011-2620-1,27A,Y,49,T,morgan,39.87546016,
445,6-5-8,2011-2623-1,7A,Y,30.4,T,hennepin,41.34414603,
446,3-3-4,2011-2635-1,21,Y,49,T,alton,38.86501905,
447,7-3-6,2011-2664-1,28,N,0.0286,F,N/A,40.20744448,
448,6-4-11,2011-2598-1,S17A,Y,46.5,T,jersey,38.96139842,
449,7-6-3,2011-2618-1,3C,Y,27.1,T,peoria,40.69352233,
450,3-4-5,2011-2599-1,2,Y,13.7,T,N/A,38.65150728,
451,8-5-4,2011-2636-1,1,Y,49,T,cass,40.01789753,
452,9-6-3,2011-2609-1,9C,Y,23.7,T,madison,38.69652811,
453,2-5-12,2011-2598-1,22C,Y,26.8,T,jersey,38.96139842,
454,7-3-5,2011-2618-1,15A,Y,58.3,T,peoria,40.69352233,
455,5-3-4,2011-2620-1,26C,Y,29.4,T,morgan,39.87546016,
456,6-5-1,2011-2598-1,L4B,Y,49.8,T,jersey,38.96139842,
457,6-3-9,2011-2635-1,24,Y,38.4,T,alton,38.86501905,
458,8-2-1,2011-2618-1,12A,Y,38.5,T,peoria,40.69352233,
459,5-1-9,2011-2661-1,29B,Y,41,T,tazewell,40.69584984,
460,2-2-12,2011-2638-1,13A,Y,72.7,T,scott,39.78656977,
461,8-4-4,2011-2599-1,6,Y,32.4,T,saint_clair,38.65150728,
462,12-3-5,2011-2664-1,10,Y,27.8,T,fulton2,40.20744448,
463,5-3-6,2011-2620-1,14C,Y,36.6,T,morgan,39.87546016,
464,2-6-5,2011-2636-1,2,Y,56.5,T,cass,40.01789753,
465,8-3-5,2011-2659-1,4A,Y,39.9,T,frederick,40.07116309,
466,10-3-10,2011-2599-1,16,Y,58.6,T,saint_clair,38.65150728,
467,5-4-6,2011-2635-1,6,Y,57.2,T,alton,38.86501905,
468,5-5-1,2011-2598-1,L7B,Y,65.6,T,jersey,38.96139842,
469,MO5556235,B. diffusa,B. diffusa,,,,Outgroup,,
470,MO5651552,B. diffusa,B. diffusa,,,,Outgroup,,
471,MO6335664,B. diffusa,B. diffusa,,,,Outgroup,,
472,MO5657434,B. caroliniana,B. caroliniana,,,,Outgroup,,
473,MO5657436,B. caroliniana,B. caroliniana,,,,Outgroup,,
474,MO3296052,B. caroliniana,B. caroliniana,,,,Outgroup,,
475,MO6605549,B. asteroides var. recognita,B. asteroides var. recognita,,,,Outgroup,,
476,MO5550141,B. asteroides var. recognita,B. asteroides var. recognita,,,,Outgroup,,
477,MO6445537,B. asteroides var. recognita,B. asteroides var. recognita,,,,Outgroup,,
478,MO3296042,B. asteroides var. latisquama,B. asteroides var. latisquama,,,,Outgroup,,
479,MO04630815,B. asteroides var. latisquama,B. asteroides var. latisquama,,,,Outgroup,,
480,MO3278114,B. asteroides var. asteroides,B. asteroides var. asteroides,,,,Outgroup,,
481,MO5555289,B. asteroides var. asteroides,B. asteroides var. asteroides,,,,Outgroup,,
482,MO5670280,B. asteroides var. asteroides,B. asteroides var. asteroides,,,,Outgroup,,
483,MO6669048,B. asteroides var. asteroides,B. asteroides var. asteroides,,,,Outgroup,,
484,MO3228478,B. apalachicolensis,B. apalachicolensis,,,,Outgroup,,
485,MO3681612,B. apalachicolensis,B. apalachicolensis,,,,Outgroup,,
486,MO6182444,B. montana,B. montana,,,,Outgroup,,
487,MO5543519,Chloracantha spinosa,Chloracantha spinosa,,,,Outgroup,,
488,MO5548112,Chloracantha spinosa,Chloracantha spinosa,,,,Outgroup,,
489,MO5655792,Chloracantha spinosa,Chloracantha spinosa,,,,Outgroup,,
490,MO5655812,Chloracantha spinosa,Chloracantha spinosa,,,,Outgroup,,
491,Meg_1185,B. asteroides,B. asteroides,,,,Outgroup,,
492,Meg_1183_1,B. diffusa,B. diffusa,,,,Outgroup,,
493,Meg_1183_2,B. diffusa,B. diffusa,,,,Outgroup,,
